MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,       100.00,        99.90,        99.90,        99.10,        99.10,                   497900.00,5000, ,       163.50,        94.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        96.50,        97.45,        99.85,        97.45,        97.85,                  1283950.00,13000, ,       158.80,        82.15
N,SM,ETML,EMERALD TYRE MANUF LTD,       101.85,       105.00,       105.00,       101.30,       104.40,                  3643500.00,34800, ,       184.95,        96.10
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       115.10,       115.10,       119.75,       112.00,       113.00,                   278610.00,2400, ,       498.95,       112.00
N,SM,ETL,EMKAY TOOLS LIMITED,       855.00,       840.00,       840.00,       840.00,       840.00,                   126000.00,150, ,      1235.00,       721.10
N,SM,ENCOMPAS,ENCOMPASS DESIGN INDIA L,       240.45,       240.00,       247.00,       231.15,       234.50,                  5433720.00,22800, ,       247.00,       167.35
N,SM,EMMIL,ENERGY MISSION MACH IND L,       189.95,       185.05,       188.00,       185.00,       188.00,                   370775.00,2000, ,       337.35,       162.10
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       212.05,       213.20,       220.00,       213.20,       220.00,                   259920.00,1200, ,       284.00,       164.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        16.25,        16.25,        16.25,        14.25,        14.45,                  3882250.00,260000, ,       321.00,        13.35
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       123.00,       118.05,       122.00,       118.05,       122.00,                   833600.00,7000, ,       173.00,        90.05
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       207.10,       208.00,       209.25,       205.50,       205.50,                  2273350.00,11000, ,       267.90,       160.05
N,ST,EPWINDIA,EPW INDIA LIMITED,        97.00,       111.00,       116.55,       111.00,       116.55,                 60043860.00,532800, ,       116.55,       111.00
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       140.35,       140.30,       140.30,       133.35,       133.35,                  7286160.00,54400, ,       410.00,       129.40
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       211.00,       211.00,       211.00,       200.45,       200.45,                 17991288.00,88560, ,       744.85,       149.95
N,ST,EXIMROUTES,EXIM ROUTES LIMITED,       144.20,       137.00,       148.30,       137.00,       144.50,                 27258720.00,192000, ,       148.30,       104.50
N,SM,FELIX,FELIX INDUSTRIES LTD.,       156.70,       158.45,       158.45,       154.30,       155.40,                  1480125.00,9500, ,       220.00,       108.00
N,SM,FINBUD,FINBUD FINANCIAL SERV LTD,       125.05,       127.00,       128.95,       125.10,       127.00,                  1928450.00,15000, ,       164.85,       110.00
N,SM,FLYSBS,FLYSBS AVIATION LIMITED,       521.05,       522.00,       527.00,       521.00,       521.70,                  5126500.00,9800, ,       790.00,       427.50
N,SM,FWSTC,FLYWINGS SIMULAT T C LTD,       229.15,       238.00,       238.00,       218.00,       220.60,                 22984080.00,102000, ,       248.00,       186.00
N,ST,FONEBOX,FONEBOX RETAIL LIMITED,        89.80,        87.00,        87.00,        87.00,        87.00,                    87000.00,1000, ,       129.00,        68.85
N,SM,FORCAS,FORCAS STUDIO LIMITED,       123.75,       123.00,       123.45,       117.50,       117.75,                  2110560.00,17600, ,       140.00,        65.05
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,       115.50,       116.00,       116.00,       116.00,       116.00,                   139200.00,1200, ,       175.50,        60.00
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       177.75,       176.00,       180.00,       175.00,       176.00,                  8929170.00,50400, ,       221.95,       117.20
N,SM,FROG,FROG INNOVATIONS LIMITED,       157.60,       157.50,       164.70,       155.10,       159.00,                   764360.00,4800, ,       458.00,       150.00
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,        10.25,         9.80,         9.80,         9.50,         9.80,                   146100.00,15000, ,        19.75,         9.50
N,SM,GML,GALAXY MEDICARE LIMITED,        22.00,        22.00,        22.25,        20.90,        22.25,                   910500.00,42000, ,        54.00,        18.10
N,SM,GGBL,GANESH GREEN BHARAT LTD,       314.70,       312.00,       316.85,       309.10,       310.55,                  6735825.00,21600, ,       610.00,       282.20
N,SM,GANESHIN,GANESH INFRAWORLD LIMITED,       133.85,       130.00,       130.10,       120.50,       120.50,                339523040.00,2752000, ,       279.80,       106.25
N,SM,GANGABATH,GANGA BATH FITTINGS LTD,        21.40,        21.60,        21.60,        20.55,        21.00,                   317100.00,15000, ,        59.00,        20.10
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       369.40,       385.50,       385.50,       385.50,       385.50,                    96375.00,250, ,       525.25,       315.60
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       247.45,       259.80,       259.80,       247.45,       259.80,                  2564675.00,10000, ,       409.00,        96.80
N,SM,GLOBALPET,GLOBAL PET INDUSTRIES LTD,       117.00,       117.00,       117.00,       117.00,       117.00,                    87750.00,750, ,       159.70,        93.10
N,ST,GICL,GLOBE INTL CARRIERS LTD,        47.15,        47.15,        47.50,        44.90,        47.35,                 18129600.00,390000, ,       179.00,        40.00
G,ST,GSTL,GLOBESECURE TECHNO LTD,        14.45,        14.45,        14.45,        14.45,        14.45,                   202300.00,14000, ,        36.80,         5.95
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         7.10,         6.85,         7.00,         6.85,         7.00,                   546187.50,78750, ,        13.50,         6.80
N,SM,GOYALSALT,GOYAL SALT LIMITED,       155.50,       156.05,       160.00,       156.00,       160.00,                   376830.00,2400, ,       216.00,       142.00
N,SM,GPECO,GP ECO SOLUTIONS INDIA L,       418.90,       412.00,       421.00,       400.00,       413.45,                 12818600.00,31200, ,       616.50,       230.00
N,SM,GCHOTELS,GRAND CONTINENT HOTELS L,       163.00,       163.00,       164.85,       153.00,       157.10,                  1625880.00,10200, ,       255.00,       101.90
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        45.70,        46.20,        47.85,        45.55,        47.65,                  3770220.00,80400, ,        61.10,        30.40
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        55.95,        58.95,        59.00,        56.15,        58.20,                  2048760.00,35200, ,        90.00,        48.15
N,SM,GREENLEAF,GREENLEAF ENVIROTECH LTD,       167.00,       168.00,       168.30,       160.05,       166.95,                  1990450.00,12000, ,       185.90,       111.00
N,SM,GSMFOILS,GSM FOILS LIMITED,       201.00,       201.00,       202.00,       200.10,       200.10,                  1706500.00,8500, ,       255.15,       110.70
N,SM,GURUNANAK,GURUNANAK AGRICULTUR IN L,        33.15,        34.75,        34.80,        33.15,        33.15,                   331360.00,9600, ,        60.00,        27.00
N,SM,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,        71.00,        71.00,        71.00,        71.00,        71.00,                   113600.00,1600, ,        94.80,        54.85
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       176.90,       176.10,       176.25,       169.50,       170.25,                  2339120.00,13600, ,       340.90,       127.05
N,ST,HOACFOODS,HOAC FOODS INDIA LIMITED,       345.00,       345.05,       349.00,       345.00,       349.00,                  1038037.50,3000, ,       380.00,       112.00
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       169.95,       162.00,       162.55,       161.50,       162.55,                   194400.00,1200, ,       538.40,       159.75
N,ST,HPTL,HP TELECOM INDIA LIMITED,       281.10,       286.70,       286.70,       286.70,       286.70,                   172020.00,600, ,       327.40,       101.05
N,SM,HRHNEXT,HRH NEXT SERVICES LIMITED,        28.55,        27.20,        27.20,        27.15,        27.15,                   203700.00,7500, ,       104.30,        25.30
N,SM,IBLFL,IBL FINANCE LIMITED,        62.80,        60.00,        61.05,        59.70,        60.35,                  1446700.00,24000, ,        74.00,        45.45
